,household,enumerator,event,region,SSR_Yplot,BRR_Yplot,ZCC_Yplot,plotL1_BRR,plotL2_BRR,plotW1_BRR,plotW2_BRR,plotL1_SSR,plotL2_SSR,plotW1_SSR,plotW2_SSR,plotL1_ZCC,plotL2_ZCC,plotW1_ZCC,plotW2_ZCC,riceSystem,plotSizeBRR,plotSizeSSR,plotSizeZCC,T1_Yha,T2_Yha,T3_Yha,X,moistZCC,moistBRR,moistSSR,moistureBRR,moistureSSR,moistureZCC,SSR_BRR,SSR_ZCC,BRR_ZCC,incrBRR,incrSSR,eSSR,ecdf,lower,upper
1,SGHHNG000351,SGEANG000103,event6R,Region1,29.35,32.45,9.51,10,10,10,10,10,10,10,10,10,10,5,5,Rainfed lowland,100,100,50,2.798355171,3.089615813,1.835451467,1,18.8,19.6,19.3,19.73333333,19.56666667,18.13333333,-0.166666667,1.433333333,1.6,1.254164346,0.962903704,-0.291260641,0.333333333,0.10253177,0.564134897
2,SGHHNG000352,SGEANG000103,event6R,Region1,22.25,26.3,9.531,10,10,10,10,10,10,10,10,10,10,5,5,Rainfed lowland,100,100,50,2.269460185,2.582428941,1.94197319,2,11.9,16.6,12,16.1,11.76666667,11.9,-4.333333333,-0.133333333,4.2,0.64045575,0.327486995,-0.312968756,0.272727273,0.041925709,0.503528836
3,SGHHNG000358,SGEANG000103,event6R,Region1,28.35,30.95,11.25,10,10,10,10,10,10,10,10,10,10,5,5,Rainfed lowland,100,100,50,2.7,2.948440111,2.170050761,4,18.3,19.7,19.5,19.66666667,19.7,18.2,0.033333333,1.5,1.466666667,0.77838935,0.529949239,-0.248440111,0.424242424,0.193440861,0.655043988
4,SGHHNG000359,SGEANG000103,event6R,Region1,25.42,28.32,12.12,10,10,10,10,10,10,10,10,10,10,5,5,Rainfed lowland,100,100,50,2.46,2.830344828,2.468020244,5,11.5,12.4,17.7,14.06666667,17.8,11.96666667,3.733333333,5.833333333,2.1,0.362324583,-0.008020244,-0.370344828,0.212121212,0,0.442922775
5,SGHHNG000360,SGEANG000103,event6R,Region1,22.31,20.65,9.38,10,10,10,10,10,10,10,10,10,10,5,5,Rainfed lowland,100,100,50,2.11945,1.88882054,1.794662937,6,19.7,24.3,20.2,24.63333333,20,19.16666667,-4.633333333,0.833333333,5.466666667,0.094157603,0.324787063,0.23062946,0.818181818,0.587380255,1
6,SGHHNG000361,SGEANG000103,event6R,Region1,20,22.27,10.4,10,10,10,10,10,10,10,10,10,10,5,5,Rainfed lowland,100,100,50,2.03268945,2.260712378,2.115254237,7,12.1,12,12.2,12.3,12.16666667,12.1,-0.133333333,0.066666667,0.2,0.14545814,-0.082564787,-0.228022927,0.484848485,0.254046922,0.715650048
7,SGHHNG000365,SGEANG000103,event6R,Region1,26.05,29.08,10.55,10,10,10,10,10,10,10,10,10,10,5,5,Rainfed lowland,100,100,50,2.640515708,2.944156306,2.148317952,8,11.6,11.9,11.8,12.6,12.46666667,11.96666667,-0.133333333,0.5,0.633333333,0.795838354,0.492197757,-0.303640597,0.303030303,0.07222874,0.533831866
8,SGHHNG000371,SGEANG000102,event6R,Region1,27.06,27,7.492,10,10,10,10,10,10,10,10,10,10,5,5,Rainfed lowland,100,100,50,2.672168163,2.683522232,1.455749105,9,17.5,14.2,15.4,14.7,15.44333333,17.34,0.743333333,-1.896666667,-2.64,1.227773127,1.216419058,-0.011354069,0.606060606,0.375259043,0.836862169
9,SGHHNG000372,SGEANG000102,event6R,Region1,31.855,27.855,9.025,10,10,10,10,10,10,10,10,10,10,5,5,Rainfed lowland,100,100,50,3.056792929,2.652118597,1.74135402,10,18.4,18.4,18.6,19.73333333,18.8,18.16666667,-0.933333333,0.633333333,1.566666667,0.910764577,1.31543891,0.404674332,0.909090909,0.678289346,1
10,SGHHNG000373,SGEANG000102,event6R,Region1,28.08,28.19,8.28,10,10,10,10,10,10,10,10,10,10,5,5,Rainfed lowland,100,100,50,2.706696731,2.732704082,1.578021733,11,18.6,17.6,18.1,17.6,18.26666667,19.63333333,0.666666667,-1.366666667,-2.033333333,1.154682349,1.128674997,-0.026007351,0.575757576,0.344956012,0.806559139
