HHID,EAID,Region,riceSystem,SSR_Yha,BRR_Yha,ZCC_Yha,rateNPK,rateUrea,ureaBRR,NPKBRR,rateN,rateN_BRR,useN_effSSR,plot,useN
SGHHNG000351,SGEANG000103,Region1,rainfedLowland,2.798355171,3.089615813,1.835451467,224,125,87,267,88.86,77.4,-8.425786472,T1,31.49173049
SGHHNG000352,SGEANG000103,Region1,rainfedLowland,2.269460185,2.582428941,1.94197319,224,125,87,267,88.86,77.4,-7.824987503,T1,25.53972749
SGHHNG000358,SGEANG000103,Region1,rainfedLowland,2.7,2.948440111,2.170050761,224,125,87,267,88.86,77.4,-7.708666407,T1,30.38487508
SGHHNG000359,SGEANG000103,Region1,rainfedLowland,2.46,2.830344828,2.468020244,224,125,87,267,88.86,77.4,-8.883765331,T1,27.6839973
SGHHNG000360,SGEANG000103,Region1,rainfedLowland,2.11945,1.88882054,1.794662937,224,125,87,267,88.86,77.4,-0.551801895,T1,23.85156426
SGHHNG000361,SGEANG000103,Region1,rainfedLowland,2.03268945,2.260712378,2.115254237,224,125,87,267,88.86,77.4,-6.332979501,T1,22.87519075
SGHHNG000365,SGEANG000103,Region1,rainfedLowland,2.640515708,2.944156306,2.148317952,224,125,87,267,88.86,77.4,-8.322735918,T1,29.71545924
SGHHNG000371,SGEANG000102,Region1,rainfedLowland,2.672168163,2.683522232,1.455749105,195,111,87,267,78.36,77.4,-0.569653717,T1,34.10117615
SGHHNG000372,SGEANG000102,Region1,rainfedLowland,3.056792929,2.652118597,1.74135402,195,111,87,267,78.36,77.4,4.744510441,T1,39.00960859
SGHHNG000373,SGEANG000102,Region1,rainfedLowland,2.706696731,2.732704082,1.578021733,195,111,87,267,78.36,77.4,-0.764437917,T1,34.54181637
SGHHNG000374,SGEANG000102,Region1,rainfedLowland,2.749656918,2.440106952,3.668412162,195,111,87,267,78.36,77.4,3.564128045,T1,35.09005766
SGHHNG000378,SGEANG000102,Region1,rainfedLowland,2.406417112,2.21809229,3.534188874,195,111,87,267,78.36,77.4,2.052240936,T1,30.70976407
SGHHNG000379,SGEANG000102,Region1,rainfedLowland,2.40588565,2.413675551,1.52775882,195,111,87,267,78.36,77.4,-0.481456887,T1,30.70298175
SGHHNG000383,SGEANG000102,Region1,rainfedLowland,2.471580699,2.509892116,1.691695775,195,111,87,267,78.36,77.4,-0.886190176,T1,31.54135654
SGHHNG000384,SGEANG000102,Region1,rainfedLowland,3.07439795,3.084401588,NA,195,111,87,267,78.36,77.4,-0.615872658,T1,39.23427706
SGHHNG000387,SGEANG000102,Region1,rainfedLowland,2.982486486,2.78726765,3.941493003,195,111,87,267,78.36,77.4,2.050128577,T1,38.06133852
SGHHNG000393,SGEANG000101,Region1,rainfedLowland,1.644870726,2.04508703,1.189565217,224,125,87,267,88.86,77.4,-7.911501369,T1,18.51081168
SGHHNG000395,SGEANG000101,Region1,rainfedLowland,1.967698598,0.200175593,0.399182959,224,125,87,267,88.86,77.4,19.557558,T1,22.14380597
SGHHNG000399,SGEANG000101,Region1,rainfedLowland,2.102174543,2.35106321,2.578920308,224,125,87,267,88.86,77.4,-6.718341482,T1,23.65715219
SGHHNG000403,SGEANG000101,Region1,rainfedLowland,1.853496503,0.194816292,1.528272701,224,125,87,267,88.86,77.4,18.34160836,T1,20.85861471
SGHHNG000404,SGEANG000101,Region1,rainfedLowland,NA,0.198837209,0.4,224,125,87,267,88.86,77.4,NA,T1,NA
