"","District","Kebele","Farmers code","Landscape","Grain yield (kg/ha)_EXN","Grain yield (kg/ha)_LSFR","Straw yield (kg/ha)_EXN","Straw yield (kg/ha)_LSFR","Yield difference kg/ha_EXN","Yield difference kg/ha_LSFR","Straw difference kg/ha_EXN","Straw difference kg/ha_LSFR","LP (Kg yield/man-days)_EXN","LP (Kg yield/man-days)_LSFR","Net Benefit (Birr/ha)_EXN","Net Benefit (Birr/ha)_LSFR","Net benefit difference_EXN","Net benefit difference_LSFR"
"1","Anilemo","Debub Fonko","Wt-AN-DF-FS-AA-09","Footslope",1858.975,1869.66666666667,17083.3333333333,18333.3333333333,NA,10.6916666666666,NA,1250,29.046484375,29.2135416666667,77188.15,78129.914,NA,941.76400000001
"2","Anilemo","Laygnaw Fonko","Wt-AN-LF-FS-DE-07","Footslope",2156.25,2200,2661.66666666667,2934.16666666667,NA,43.75,NA,272.500000000004,30.8035714285714,31.4285714285714,55116.7333333333,55191.4973333333,NA,74.7640000000174
"3","Anilemo","Laygnaw Fonko","Wt-AN-LF-FS-GH-06","Footslope",1158.33333333333,1383.33333333333,2883.33333333333,3550,NA,225,NA,666.666666666667,16.5476190476191,19.7619047619048,25955.0666666667,32846.914,NA,6891.84733333333
"4","Anilemo","Debub Fonko","Wt-AN-DF-FS-KA-11","Footslope",1779.16666666667,2089.16666666667,5916.66666666667,7833.33333333333,NA,310,NA,1916.66666666667,27.7994791666667,32.6432291666667,49668.9,61089.914,NA,11421.014
"5","Anilemo","Debub Fonko","Wt-AN-DF-FS-MA-12","Footslope",2736.66666666667,3445.83333333333,7666.66666666667,9750,NA,709.166666666667,NA,2083.33333333333,42.7604166666667,53.8411458333333,82331.4,106102.414,NA,23771.014
"6","Anilemo","Debub Fonko","Wt-AN-DF-FS-MA-10","Footslope",1289.16666666667,2903.33333333333,6166.66666666667,7916.66666666667,NA,1614.16666666666,NA,1750,20.1432291666667,45.3645833333333,35531.4,85702.4139999999,NA,50171.0139999999
"7","Anilemo","Laygnaw Fonko","Wt-AN-LF-FS-TA-05","Footslope",1637.5,1545,26812.5,21125,NA,-92.4999999999998,NA,-5687.5,23.3928571428571,22.0714285714286,124082.15,99209.414,NA,-24872.736
"8","Basona worana","Goshebado","Wt-BW-GB-FS-AG-09","Footslope",4443.33333333333,4720,9406.66666666667,7480,NA,276.666666666668,NA,-1926.66666666667,49.9250936329588,53.0337078651685,141090,140801.28,NA,-288.719999999972
"9","Basona worana","Goshebado","Wt-BW-GB-FS-AH-07","Footslope",3916.66666666667,4290,6703.33333333333,7436.66666666667,NA,373.333333333333,NA,733.333333333335,44.0074906367041,48.2022471910112,117180,127771.28,NA,10591.28
"10","Basona worana","Gudoberet","Wt-BW-GB-FS-AW-07","Footslope",3989.16666666667,4434.58333333333,8195,11423.75,NA,445.416666666666,NA,3228.75,65.396174863388,72.698087431694,129730,149970.03,NA,20240.03
"11","Basona worana","Goshebado","Wt-BW-GB-FS-FC-08","Footslope",3616.66666666667,4400,4866.66666666667,6866.66666666667,NA,783.333333333333,NA,2000,40.6367041198502,49.438202247191,102670,129361.28,NA,26691.28
"12","Basona worana","Goshebado","Wt-BW-GB-FS-KM-06","Footslope",3150,3783.33333333333,5466.66666666667,4800,NA,633.333333333333,NA,-666.666666666666,35.3932584269663,42.5093632958801,90470,104661.28,NA,14191.28
"13","Basona worana","Gudoberet","Wt-BW-GB-FS-MH-04","Footslope",3866.66666666667,4400,7266.66666666667,8053.33333333333,NA,533.333333333333,NA,786.666666666666,63.3879781420765,72.1311475409836,123270,138821.28,NA,15551.28
