household,enumerator,event,region,plot_yield_T1,plot_yield_T3,plot_yield_T2,plot_length_T2,plotL2_T2,plot_width_T2,plotW2_T2,plot_length_T1,plotL2_T1,plot_width_T1,plotW2_T1,plotL1_T3,plotL2_T3,plotW1_T3,plotW2_T3,riceSystem,plotSizeT2,plotSizeT1,plotSizeT3,T2_Yha,X,moistT3,moisture_T2,moisture_T1,moistureT2,moistureT1,moistureT3,T1_BRR,T1_ZCC,T3_ZCC,eSSR,plot,incrT2,incrT1,T2_yieldha,T1_yieldha,T3_yieldha,incr_Y
SGHHNG000351,SGEANG000103,event6R,Region1,29.35,32.45,9.51,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,1.835451467,1,18.8,19.6,19.3,19.73333333,19.56666667,18.13333333,-0.166666667,1.433333333,1.6,-0.291260641,T3,1.254164346,0.962903704,3.089615813,2.798355171,3.089615813,1.254164346
SGHHNG000351,SGEANG000103,event6R,Region1,29.35,32.45,9.51,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,1.835451467,1,18.8,19.6,19.3,19.73333333,19.56666667,18.13333333,-0.166666667,1.433333333,1.6,-0.291260641,T1,1.254164346,0.962903704,2.798355171,2.798355171,3.089615813,0.962903704
SGHHNG000352,SGEANG000103,event6R,Region1,22.25,26.3,9.531,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,1.94197319,2,11.9,16.6,12,16.1,11.76666667,11.9,-4.333333333,-0.133333333,4.2,-0.312968756,T3,0.64045575,0.327486995,2.582428941,2.269460185,2.582428941,0.64045575
SGHHNG000352,SGEANG000103,event6R,Region1,22.25,26.3,9.531,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,1.94197319,2,11.9,16.6,12,16.1,11.76666667,11.9,-4.333333333,-0.133333333,4.2,-0.312968756,T1,0.64045575,0.327486995,2.269460185,2.269460185,2.582428941,0.327486995
SGHHNG000358,SGEANG000103,event6R,Region1,28.35,30.95,11.25,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,2.170050761,4,18.3,19.7,19.5,19.66666667,19.7,18.2,0.033333333,1.5,1.466666667,-0.248440111,T3,0.77838935,0.529949239,2.948440111,2.7,2.948440111,0.77838935
SGHHNG000358,SGEANG000103,event6R,Region1,28.35,30.95,11.25,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,2.170050761,4,18.3,19.7,19.5,19.66666667,19.7,18.2,0.033333333,1.5,1.466666667,-0.248440111,T1,0.77838935,0.529949239,2.7,2.7,2.948440111,0.529949239
SGHHNG000359,SGEANG000103,event6R,Region1,25.42,28.32,12.12,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,2.468020244,5,11.5,12.4,17.7,14.06666667,17.8,11.96666667,3.733333333,5.833333333,2.1,-0.370344828,T3,0.362324583,-0.008020244,2.830344828,2.46,2.830344828,0.362324583
SGHHNG000359,SGEANG000103,event6R,Region1,25.42,28.32,12.12,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,2.468020244,5,11.5,12.4,17.7,14.06666667,17.8,11.96666667,3.733333333,5.833333333,2.1,-0.370344828,T1,0.362324583,-0.008020244,2.46,2.46,2.830344828,-0.008020244
SGHHNG000360,SGEANG000103,event6R,Region1,22.31,20.65,9.38,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,1.794662937,6,19.7,24.3,20.2,24.63333333,20,19.16666667,-4.633333333,0.833333333,5.466666667,0.23062946,T3,0.094157603,0.324787063,1.88882054,2.11945,1.88882054,0.094157603
SGHHNG000360,SGEANG000103,event6R,Region1,22.31,20.65,9.38,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,1.794662937,6,19.7,24.3,20.2,24.63333333,20,19.16666667,-4.633333333,0.833333333,5.466666667,0.23062946,T1,0.094157603,0.324787063,2.11945,2.11945,1.88882054,0.324787063
